[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,pdf페이지,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
76,국회전자도서관,소장자료,국회기록사진첩_vol1_076.jpg,43,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
77,국회전자도서관,소장자료,국회기록사진첩_vol1_077.jpg,43,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
78,국회전자도서관,소장자료,국회기록사진첩_vol1_078.jpg,44,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
79,국회전자도서관,소장자료,국회기록사진첩_vol1_079.jpg,44,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
80,국회전자도서관,소장자료,국회기록사진첩_vol1_080.jpg,45,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
81,국회전자도서관,소장자료,국회기록사진첩_vol1_081.jpg,45,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
82,국회전자도서관,소장자료,국회기록사진첩_vol1_082.jpg,46,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
83,국회전자도서관,소장자료,국회기록사진첩_vol1_083.jpg,46,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
84,국회전자도서관,소장자료,국회기록사진첩_vol1_084.jpg,47,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
85,국회전자도서관,소장자료,국회기록사진첩_vol1_085.jpg,47,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
86,국회전자도서관,소장자료,국회기록사진첩_vol1_086.jpg,48,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
87,국회전자도서관,소장자료,국회기록사진첩_vol1_087.jpg,48,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
88,국회전자도서관,소장자료,국회기록사진첩_vol1_088.jpg,49,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
89,국회전자도서관,소장자료,국회기록사진첩_vol1_089.jpg,49,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
90,국회전자도서관,소장자료,국회기록사진첩_vol1_090.jpg,50,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
91,국회전자도서관,소장자료,국회기록사진첩_vol1_091.jpg,50,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
92,국회전자도서관,소장자료,국회기록사진첩_vol1_092.jpg,51,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
93,국회전자도서관,소장자료,국회기록사진첩_vol1_093.jpg,52,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
94,국회전자도서관,소장자료,국회기록사진첩_vol1_094.jpg,52,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
95,국회전자도서관,소장자료,국회기록사진첩_vol1_095.jpg,53,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
96,국회전자도서관,소장자료,국회기록사진첩_vol1_096.jpg,53,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
97,국회전자도서관,소장자료,국회기록사진첩_vol1_097.jpg,54,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
98,국회전자도서관,소장자료,국회기록사진첩_vol1_098.jpg,54,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
99,국회전자도서관,소장자료,국회기록사진첩_vol1_099.jpg,55,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
100,국회전자도서관,소장자료,국회기록사진첩_vol1_100.jpg,55,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
101,국회전자도서관,소장자료,국회기록사진첩_vol1_101.jpg,56,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
102,국회전자도서관,소장자료,국회기록사진첩_vol2_001.jpg,61,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
103,국회전자도서관,소장자료,국회기록사진첩_vol2_002.jpg,61,1953.5-1957.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
104,국회전자도서관,소장자료,국회기록사진첩_vol2_003.jpg,62,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
