대구광역시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
72,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 내역_수성소방서,2017-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
73,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2016년 하반기 업무추진비 집행내역 (매곡정수사업소),2017-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
74,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역 (동부소방서),2017-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
75,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(강서소방서),2017-02-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
76,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(시설안전관리사업소),2017-02-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
77,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역 (관광과),2017-02-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
78,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(세정담당관실),2017-02-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
79,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(도시철도건설본부),2017-02-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
80,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역 공개(건설본부),2017-02-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
81,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역 공개(공무원교육원),2017-02-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
82,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2016년 12월~2017년 1월 업무추진비 집행내역(종합복지회관),2017-02-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
83,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(건설산업과),2017-02-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
84,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2016년 12월 ~ 2017년 1월 업무추진비 집행내역(안전정관),2017-02-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
85,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(달성소방서),2017-02-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
