진주시청 공공저작물 권리확인 요청 목록 (대표홈페이지),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
60,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,20통장 모집 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562698&amode=view&extParam=notice&cpage=6,2024-05-09,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
61,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,주거용 오피스텔 재산세 과세대상 변동신고 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562657&amode=view&extParam=notice&cpage=6,2024-05-08,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
62,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,「 2024년 문화가 있는 산단 전시 지원 」 공모,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562645&amode=view&extParam=notice&cpage=6,2024-05-08,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
63,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,(재)진주시복지재단 수탁시설(장애인종합복지관어린이집) 보육교직원 채용 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562642&amode=view&extParam=notice&cpage=6,2024-05-08,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
64,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,제75회 진주시민 교양강좌 개최 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562627&amode=view&extParam=notice&cpage=6,2024-05-08,유,4유형,,내부확인 필요,공공누리 2~4유형,,,,,,O,,강연자 초상권 포함,
65,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년도 장애인 정보통신보조기기 보급사업 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562558&amode=view&extParam=notice&cpage=6,2024-05-07,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
66,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,백일해 예방접종 및 생활수칙 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4118&idx=39562384&amode=view&extParam=notice&cpage=6,2024-05-02,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
67,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,진주가정폭력상담소 채용공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562372&amode=view&extParam=notice&cpage=7,2024-05-02,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
68,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 상반기 지방세 성실납세자 경품 추첨 결과 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562283&amode=view&extParam=notice&cpage=7,2024-05-01,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
69,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,의료기관 방문 시 신분증 지참 의무화,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4118&idx=39562273&amode=view&extParam=notice&cpage=7,2024-05-01,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
70,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,제23회 진주 논개제  및 어린이날 맞이  토요상설 소힘겨루기경기 일정 알림,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562269&amode=view&extParam=notice&cpage=7,2024-05-01,무,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
71,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,의료기관 방문 시 신분증 지참 의무화,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562267&amode=view&extParam=notice&cpage=7,2024-05-01,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
72,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년  갤러리 진심1949 하반기 예약접수 알림,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562250&amode=view&extParam=notice&cpage=7,2024-05-01,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
73,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,경상남도 무형유산 진주포구락무 공개시연행사 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562210&amode=view&extParam=notice&cpage=7,2024-04-30,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
74,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 상반기 정부모범공무원 추천대상자 공개검증  실시 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562199&amode=view&extParam=notice&cpage=7,2024-04-30,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
