[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
83,국회기록보존소,국회연표,제3대 국회의원(민의원)선거 투표광경 사진,,1954.05.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
84,국회기록보존소,국회연표,제3대 민의원 총선 사진,,1954.05.31,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
85,국회기록보존소,국회연표,제3대 국회의장단,,1954.06.09,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
86,국회기록보존소,국회연표,의장선거 집계,,1954.06.09,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
87,국회기록보존소,국회연표,의장단 선거,,1954.06.09,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
88,국회기록보존소,국회연표,개헌안 부결뒤 본회의 의원들 사진,,1954.11.28,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
89,국회기록보존소,국회연표,개헌에 시민들 항의,,1954.11.29,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
90,국회기록보존소,국회연표,"이대통령, 개헌안에 서명 사진",,1954.11.29,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
91,국회기록보존소,국회연표,4사5입개헌 가결 선포 사진,,1954.11.29,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
92,국회기록보존소,국회연표,한강 백사장 메운 해공 신익희 유세 사진,,1956.05.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
93,국회기록보존소,국회연표,한강 백사장 메운 해공 신익희 유세 사진,,1956.05.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
94,국회기록보존소,국회연표,해공 신익희 선생 국민장 영결식 사진,,1956.05.23,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
95,국회기록보존소,국회연표,제3대국회 최공령과 최연소 국회의원 사진,,1956.06.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
96,국회기록보존소,국회연표,시위에 나서는 야당중진 의원들,,1956.07.26,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
97,국회기록보존소,국회연표,미대사관앞에서 관권간섭 배제를 요구하며 시위하는 야당의원들,,1956.07.26,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
98,국회기록보존소,국회연표,이승만 제3대 대통령 취임식,,1956.08.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
99,국회기록보존소,국회연표,UN가입 호소 서명운동을 벌이고 있는 국회의원들 사진,,1956.10.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
100,국회기록보존소,국회연표,야구시합에 나선 입법부팀과 행정부팀,,1956.10.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
101,국회기록보존소,국회연표,여야간의 야구대결을 지켜보고 있는 여야 거두,,1956.10.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
102,국회기록보존소,국회연표,여당팀과 야당팀의 야구시합,,1956.10.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
103,국회기록보존소,국회연표,테러단 난동으로 수라장이 된 장충단 시국강연회장,,1957.05.25,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
104,국회기록보존소,국회연표,고 딘 디엠 월남대통령 국회방문,,1957.09.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
105,국회기록보존소,국회연표,국회에서 민법안 설명하는 김병로 대법원장,,1957.11.06,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
106,국회기록보존소,국회연표,진주시장 선거사건 조사결과를 보고하는 국회조사단,,1957.11.14,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
107,국회기록보존소,국회연표,진보당 사건의 공판광경 사진,,1958.01.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
108,국회기록보존소,국회연표,제4대 국회의원 선거 투표광경 사진,,1958.05.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
109,국회기록보존소,국회연표,자유당 당선자 이대통령 예방 사진,,1958.05.31,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
110,국회기록보존소,국회연표,"제4대국회 개원, 이기붕 의장 개회사 사진",,1958.06.07,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
111,국회기록보존소,국회연표,제헌절 10주년 기념식 사진,,1958.07.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
112,국회기록보존소,국회연표,법사위의 난투극 사진,,1958.12.11,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
113,국회기록보존소,국회연표,국가보안법 제정 반대 서명운동 모습,,1958.12.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
114,국회기록보존소,국회연표,국가보안법 반대 시위 사진,,1958.12.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
115,국회기록보존소,국회연표,국가보안법 가결 저지를 위해 철야농성중인 야당의원들 사진,,1958.12.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
116,국회기록보존소,국회연표,장변박사 양당의원 격려,,1958.12.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
117,국회기록보존소,국회연표,보안법 논의 총무회담,,1958.12.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
118,국회기록보존소,국회연표,희비 엇갈린 만세 사진,,1958.12.24,미부착,,검토 불가,검토 불가,,O,,,,,,게시물 확인 불가,
119,국회기록보존소,국회연표,연행되는 김선태 의원 사진,,1958.12.24,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
120,국회기록보존소,국회연표,망연자실한 표정의 야당의원들 사진,,1958.12.24,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
121,국회기록보존소,국회연표,아수라장된 국회 사진,,1958.12.24,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
122,국회기록보존소,국회연표,국가보안법안 여당 단독 의결 사진,,1958.12.24,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
123,국회기록보존소,국회연표,의장경호권이 발동된 본회의장 사진,,1958.12.24,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
124,국회기록보존소,국회연표,문교위원회의 국정감사,,1959.10.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
125,국회기록보존소,국회연표,조병옥 박사 국민장 영결식,,1960.02.25,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
126,국회기록보존소,국회연표,부정선거사례의 표본이 된 행렬 사진,,1960.03.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
127,국회기록보존소,국회연표,3.15선거 무효선언 사진,,1960.03.18,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
128,국회기록보존소,국회연표,야당의원들의 3.15 부정선거 규탄 시위,,1960.04.06,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
129,국회기록보존소,국회연표,후퇴하는 경찰들 사진,,1960.04.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
130,국회기록보존소,국회연표,시위대를 저지하고 있는 경찰관들 사진,,1960.04.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
131,국회기록보존소,국회연표,경무대로 돌진하는 시위대 사진,,1960.04.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
132,국회기록보존소,국회연표,허정 과도정부 출범  사진,,1960.04.28,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
133,국회기록보존소,국회연표,이승만 전 대통령 망명 사진,,1960.05.29,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
134,국회기록보존소,국회연표,내각제 개헌 후 만세3창 사진,,1960.06.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
135,국회기록보존소,국회연표,제3차 개헌안 의결 사진,,1960.06.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
136,국회기록보존소,국회연표,아이젠하워 미국대통령 국회연설 사진,,1960.06.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
137,국회기록보존소,국회연표,공판정에 선 3.15 부정선거 피고들,,1960.07.05,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
138,국회기록보존소,국회연표,공판정에 선 4.19 경찰발포 책임자들 사진,,1960.07.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
139,국회기록보존소,국회연표,5대 민의원 선거 가두유세 사진,,1960.07.29,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
140,국회기록보존소,국회연표,민의원 의사당 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
141,국회기록보존소,국회연표,참의원 의사당 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
142,국회기록보존소,국회연표,내각제 국회수뇌부 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
143,국회기록보존소,국회연표,백낙준 참의원 의장 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
144,국회기록보존소,국회연표,참의원 개원 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
