한국보육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
46,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2016년 하반기 비위면직자 현황 안내,,2017-02-07 00:00:00,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
47,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,[청탁금지법] 설 명절 ‘청탁금지법’ 바로알기!(카드뉴스),https://www.kcpi.or.kr/kcpi/openmag/antigraftraw.do,2023-01-06 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
48,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,[청탁금지법] 추석명절 ‘청탁금지법’ 바로알기!(카드뉴스),,2022-08-17 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
49,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,추석명절 특집 '청탁금지법' 바로알기!,,2021-09-08 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
50,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,추석 명절 대비 청탁금지법 홍보자료(카드뉴스),,2019-08-30 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
51,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,외부강의 초과 사례금 신고와 반환 안내 홍보자료(카드뉴스),,2019-08-23 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
52,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,설 명절 대비 청탁금지법 관련 홍보자료(카드뉴스),,2019-01-30 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
53,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,만화로 보는 부정청탁금지법,,2018-12-17 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(만화),
54,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 교육용 동영상,,2018-09-18 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 동영상,
55,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,"어린이 안전, 공익신고로 지켜주세요",,2018-09-18 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료/외부이미지 포함(포스터),
56,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,공익신고자 이야기,,2018-09-18 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
57,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 Q&A를 부탁해(명절편),,2018-09-18 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
58,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,부정청탁금지법 교육용 다큐멘터리,,2018-07-10 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 동영상,
59,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,어린이집에서 알아야 할 청탁금지법,,2018-07-10 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 외부이미지 포함(카드뉴스),
60,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 시행령 개정('18.01.17.) 관련 주요사항 안내,,2018-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
