NIA 한국지능정보사회진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
55,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공고]2010년 정보통신보조기기 보급품목(제품) 공모,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4112,20100311,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
56,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,제22회 정보문화상 후보자를 찾습니다,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4115,20100312,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
57,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공고]2010년도 지역주민 정보윤리(문화) 교육 기관 선정,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4116,20100315,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
58,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사 안내] 2010년 웹 접근성 향상 전략 세미나 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4143,20100322,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
59,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 2010년도 어르신 IT봉사단 운영기관 선정결과 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4148,20100323,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
60,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 2010년도 장애인 IT전문인력 양성교육 운영기관 선정결과 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4149,20100323,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
61,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[채용공고] 2010년 계약직원 및 청년인턴 채용 공고 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4169,20100330,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
62,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,스마트폰  환경에서의 이용자 선택권 보장을 위한 세미나,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4171,20100330,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
63,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[사전공고] 스마트폰기반 행정서비스 시범사업 공모안내서,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4234,20100416,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
64,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년 계약직원 및 청년인턴 공개채용 서류전형 합격자 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4233,20100416,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
