한국지역정보개발원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
56,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,전자정부 표준 프레임워크 사업 `성과`,,2010-03-15 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
57,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,100년前 日정부조직 베껴 쓴 한국… 100년만에 '전자정부' 日에 逆수출,,2010-03-17 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
58,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"고흥군, '새올행정시스템' 을 이용한 대민서비스 전국 최고 수준",,2009-10-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
59,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,수원 '정보화 도시賞' 노린다,,2009-10-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
60,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,여수시 차세대 ‘현장행정시스템’ 도입,,2009-11-02 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
61,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"수원, 세계정보화도시 '톱7'",,2010-02-01 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
62,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,타시도 벤치 마킹 줄 잇는 제주시 '저지예술정보화마을',,2010-02-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
63,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"충북도, 정보화 격차 해소에 5억1400만 원 투입",,2010-02-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
64,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,인천경제자유구역 “2020년 세계적 u시티로 변신”,,2010-03-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
65,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,[국가정보화 10대 과제] 지자체 정보화사업 계획,,2010-03-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
66,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,日총무대신 일행 양평 정보화마을 견학,,2010-03-22 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
67,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,서귀포 정보화마을 1·4분기 매출 전년대비 13%↑,,2010-05-05 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
68,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,[강릉]한울타리마을 정보화마을 선정,,2010-05-05 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
69,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,경기도 정보화사업으로 소외계층 정보격차↓,,2010-05-05 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
