철도산업정보센터 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
72,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1912-07-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
73,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,동두천역으로 영업개시,,1912-07-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
74,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1912-07-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
75,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,김제-이리 간 완공,,1912-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
76,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1912-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
77,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1912-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
78,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"화물, 소화물취급 개시",,1912-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
79,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격과 동시에 화물 및 소화물취급 개시,,1912-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
80,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1912-10-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
81,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,태인역으로 영업개시,,1912-12-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
82,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1912-12-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
83,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,전북철도주식회사가 철도부설면허를 받음,,1913-01-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
84,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1913-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
85,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급 개시,,1913-02-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
86,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1913-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
87,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1913-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
88,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시(삼향역),,1913-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
89,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1913-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
90,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시(학교역),,1913-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
