국립해양문화재연구소 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
73,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019년 해양여름캠프 대기순번 안내,,2019.07.24,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
74,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제6차 조선통신사선 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.07.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
75,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,8월 문화가 있는 날 돛단배 항해체험 참가자 모집,,2019.07.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
76,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 소식지 5호 발간,,2019.08.02,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 간행물,
77,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제7차 조선통신사선 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.08.12,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
78,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019년 해양 인문학 강좌 '세계의 수중고고학과 수중문화유산' 참가자 모집,,2019.08.20,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
79,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제8차 조선통신사선 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.08.26,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
80,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,9월 문화가 있는 날 돛단배 항해체험 참가자 모집,,2019.09.02,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
81,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제8차 조선통신사선 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.09.16,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
82,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,<2019년 전문가와 함께하는 문화유산답사 (제2차)> 참가자 모집,,2019.09.20,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
83,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제9차 조선통신사선 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.10.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
84,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,10월 문화가 있는 날 돛단배 항해체험 참가자 모집,,2019.10.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
85,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019년 책임운영기관 고객만족도 통합조사 실시 공고,,2019.10.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
86,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,태안해양유물전시관 어린이·청소년 체험 프로그램 참가자 모집 안내,,2019.10.07,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
87,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립태안해양유물전시관 개관식에 초대합니다!,,2019.10.30,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
88,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,태안해양유물전시관 '전문가와 함께하는 문화유산답사' 참가자 모집,,2019.11.06,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
89,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 현안과제 국민 평가위원 모집공고,,2019.12.04,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
90,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 현안과제 국민 평가위원 선정 결과 발표,,2019.12.12,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
91,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 전시관 임시 휴관 안내,,2020.02.24,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
92,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 전시관 임시 휴관 연장 안내,,2020.03.04,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
93,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 전시관 휴관 재안내,,2020.03.18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
94,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,KCI 등재후보지『해양문화재』제13호 게재 논문 모집,,2020.03.25,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
95,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 전시관 휴관 추가 안내,,2020.04.03,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
96,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 실내관람시설 휴관 연장 안내,,2020.04.20,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
97,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 해양유물전시관 재개관,,2020.05.06,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
98,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 어린이체험관 이용안내(선착순 입장 관람),,2020.06.02,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
99,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,코로나19 지역확산 방지를 위한 교육·행사 취소 알림,,2020.07.03,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
100,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,코로나19 지역내 확산 방지를 위한 목포해양유물전시관 임시휴관 안내,,2020.07.06,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
101,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포해양유물전시관 임시휴관 연장 안내,,2020.07.16,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
102,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포해양유물전시관 재개관 안내,,2020.07.27,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
103,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,KCI등재후보지『해양문화재』 제13호 원고모집 기간 연장,,2020.07.31,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
104,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포해양유물전시관 특별 개관(8월 17일),,2020.08.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
105,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,태안해양유물전시관 임시휴관 알림(8월 18일~별도 공지 시까지),,2020.08.18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
106,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포해양유물전시관 임시 휴관(8월 22일~별도 공지 시까지),,2020.08.21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
107,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포·태안해양유물전시관 재개관(10월 13일),,2020.10.12,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
108,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포해양유물전시관 신안선실 임시 휴실 안내,,2020.10.12,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
109,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 기관혁신성과 국민평가단 모집 안내,,2020.10.19,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
110,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2020년 책임운영기관 고객만족도 통합조사 실시 공고,,2020.12.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
111,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 기관혁신성과 국민평가단 최종 선정 안내,,2020.12.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
112,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 개소 26주년 기념 업무추진 유공 포상 추천 대상자 공개검증,,2020.12.11,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
113,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 태안해양유물전시관 <2020년 제2기 달빛바다학교> 참가자 모집,,2020.12.11,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
114,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,목포해양유물전시관 임시휴관 안내,,2020.12.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
115,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,온라인 교육 프로그램 <해양문화재 만들기> 체험후기 이벤트 당첨자 안내,,2020.12.15,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
116,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,해양유물전시관(목포·태안) 관람 인원 제한 안내,,2021.02.16,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
117,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,홈페이지 개편 초성이벤트 <나는 누구일까요?> 당첨자 발표,,2021.03.02,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
118,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,"국제학술대회 <험난한 여정, 바다를 건넌 사람들> 개최 알림",,2021.05.04,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
