국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
46,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 국립무형유산원 「이수자 대상 기획공연」 발표자 공모,,2014-08-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
47,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 국립무형유산원 주말 체험프로그램 안내,,2014-08-26 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
48,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 국립 무형유산원 제2기 무형유산지기 선발공고,,2014-08-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
49,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 이수자뎐(傳) 공모결과 발표 및 공지일 변경 공고,,2014-08-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
50,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형유산 교육프로그램 개발 창의공방 운영 공모,,2014-09-01 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
51,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 이수자뎐(傳) 공모결과 발표,,2014-09-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
52,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형유산 전승 활성화 워크숍 참가자 모집,,2014-09-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
53,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형유산 교육프로그램 개발 창의공방 운영 재공고,,2014-09-11 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
54,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 중요무형문화재(공예) 전승활성화 사업 공모,,2014-09-12 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
55,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,제2기 무형유산지기 위촉 대상자 선정 공고,,2014-09-17 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
56,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,『2014년 무형유산 교육프로그램 개발 창의공방 운영』참가자 선정 공고,,2014-09-23 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
57,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 국립무형유산원 무형유산 전승자 교육 안내,,2014-09-25 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
58,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 중요무형문화재(공예) 전승활성화 사업 공모 재공고,,2014-09-30 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
59,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 전승자 교수·직무 및 기획·경영 역량 강화 과정 안내,,2014-10-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
60,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014전승자교수ㆍ직무역량 강화 및 기획ㆍ경영역량 강화 교육 대상자 알림,,2014-10-13 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
61,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형문화재 전승자 전문역량 강화 과정,,2014-10-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
62,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년도 중요무형문화재 공예강습 지원사업 신청 공고,,2014-10-24 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
