[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
63,국회전자도서관,全州面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010106,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
64,국회전자도서관,麗水郡麗水面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010104,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
65,국회전자도서관,全羅北道地方費歲入出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010103,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
66,국회전자도서관,全羅南道地方費特別會計歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010101,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
67,국회전자도서관,木浦府歲入出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010100,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
68,국회전자도서관,論山郡江景面歲入歲出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010099,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
69,국회전자도서관,群山府歲入歲出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010093,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
70,국회전자도서관,道地方費歲入歲出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010088,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
71,국회전자도서관,鳥致院面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010085,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
72,국회전자도서관,大田面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010083,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
73,국회전자도서관,鐵原郡鐵原面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010075,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
74,국회전자도서관,地方費歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010071,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
75,국회전자도서관,江陵郡江陵面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010069,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
76,국회전자도서관,永登浦面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010064,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
77,국회전자도서관,開城郡松都面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010059,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
78,국회전자도서관,黃海道地方費歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010055,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
79,국회전자도서관,黃州郡兼二浦面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010054,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
80,국회전자도서관,鎭南浦府歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010034,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
