[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판진입과정,게시판명,게시물 제목,URL,등록일,기사 수량,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
53,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1994년 11·12월),,1994년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
54,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1994년 9·10월),,1994년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
55,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1994년 7·8월),,1994년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
56,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1994년 5·6월),,1994년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
57,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1994년 3·4월),,1994년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
58,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1994년 1·2월),,1994년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
59,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1993년 11·12월),,1993년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
60,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1993년 9·10월),,1993년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
61,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1993년 7·8월),,1993년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
62,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1993년 5·6월),,1993년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
