세종학당재단 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
46,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,"[입찰공고] 2024년 세종학당재단 온라인 서비스 통합 운영, 유지관리 및 서비스 개선 (긴급공고)",https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005728&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
47,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 메타버스 세종학당 운영 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005727&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
48,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2024년 상반기 국외 파견 한국어 교원 선발 및 교육 지원 용역 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005723&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
49,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당재단 한국어 파견 인턴 교원 설명회 운영 용역,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005696&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
50,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023 찾아가는 세종문화아카데미 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005678&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
51,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[견적공고] 2023년 세종문화아카데미 사업비 정산 사업,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005662&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
52,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 한국어 교육자료 명칭 현행화 및 디자인 재편집,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005658&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
53,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 해외 거점 세종학당 지도 점검 용역 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005631&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
54,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 최신 정보기술 분석 및 세종학당 교육 적용 방안 연구,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005535&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
55,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 단계적 적응형 세종한국어평가 시스템 고도화 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005534&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
56,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 재외공관 한글날 행사 지원 사업 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005452&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
57,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 성취도 평가 문제은행 시스템 유지관리 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005424&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
58,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 파견교원 등 직무중심 보수체계 구축을 위한 직무분석 용역 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005396&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
59,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 메타버스 활용 한국어 수업 기본모형 연구 개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005391&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
60,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당 만족도 조사 용역 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005377&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
61,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023 세종학당 우수학습자 초청 연수 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005372&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
62,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당 교육자료 인쇄 보급 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005368&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
63,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당재단 스마트러닝 서비스 체계 개편 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005366&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
64,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당 문화인턴 파견 사업,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005365&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
65,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당재단 온·오프라인 홍보자료 제작 및 배포 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005364&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
66,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023년 세종학당 사업비 정산 용역,https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005360&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
67,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 2023 세계한국어교육자대회 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005334&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
68,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 통번역 과정 교원 양성 과정 및 콘텐츠 개발 (긴급공고) (정정공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005332&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
69,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,"[입찰공고] 2023년 한국어 평가 말하기, 쓰기 자동 채점 연구",https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005330&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
70,세종학당재단,HOME > 알림마당 > 계약정보,계약정보,[입찰공고] 세종학당 통번역 과정 교원 양성 과정 및 콘텐츠 개발 (긴급공고),https://ksif.or.kr/cop/bbs/selectBoardArticle.do?nttId=9220000005329&bbsId=BBSMSTR_000000000201&pageIndex=1,2023,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
