한국영상자료원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,부제,URL,기간/등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,1.0,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
34,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,김기,남과 북/병사와 아가씨들/상처/청춘의 덫/화녀촌총 5 편,,2003.05.26.월 ~ 05.30.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
35,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,은은한 빛 발하는 만년 조역: 전양자,낙도의 무지개/난장이가 쏘아올린 작은공/비목/사랑은 가고 세월만 남아/해방동이총 5 편,,2003.06.09.월 ~ 06.13.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
36,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,바른말 잘하는 이상언,2박 3일/범띠가시네/오빠하고 누나하고/오싱/조약돌총 5 편,,2003.06.23.월 ~ 06.27.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
37,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,익살의 우람한 남성상...한국판 앤터니 퀸: 이대근,뻐꾸기도 밤에 우는가/석양의 10번가(빛을 마셔라)/연산군/장마/제삼부두 고슴도치총 5 편,,2003.07.07.월 ~ 07.11.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
38,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,아름다운 액션을 추구하는 모더니스트 김영효,그대 변치마오/눈으로 묻고 얼굴로 대답하고 마음속 가득히 사랑은 영원히/대학생/사랑을 빌려 드립니다/황야의 외팔이총 5 편,,2003.07.21.월 ~ 07.25.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
39,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,무료가족 시네마 축제,내 마음의 풍금/보리울의 여름/소나기/안녕하세요 하나님/오세암/우리들의 일그러진 영웅/집으로/참견은 노~ 사랑은 오예~/피아노 치는 대통령총 9 편,,2003.08.02.토 ~ 11.22.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
40,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,<피아골>의 성격배우: 노경희,느티나무 있는 언덕/막난이비사 (망나니비사)/어느 하늘아래서/자유부인/피아골총 5 편,,2003.08.04.월 ~ 08.08.금,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"피아골(1955), 느타나무있는 언덕(1958), 자유부인(1956),막난이비사(1955)",
41,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,충무로 액션의 대가 최영철,맨발로 왔다/맨주먹으로 왔다/여선장/홍콩의 단장잡이/후계자총 5 편,,2003.08.18.월 ~ 08.22.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
42,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,아흐!! 후라이보이 곽규식 선생님!! 뵙고 싶어요!,5인의 해병/남자미용사/신사는 새것을 좋아한다/신화를 남긴 해병/언니는 말괄량이총 5 편,,2003.09.01.월 ~ 09.05.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"언니는 말괄량이(1961),5인의 해병(1961), 나머지는 1963년 이후",
43,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,카메라로 [생각했던 황소]... 쓸쓸히 돌아가 사극의 대인 최인현,로맨스마마/상감마마 미워요/순덕이/이상의 날개/이조 상노비사총 5 편,,2003.09.22.월 ~ 09.26.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
44,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,맑고 깨끗한 배우: 안인숙,별들의 고향/아네모네 마담/어제 내린 비/특별수사본부 <제2탄> 여대생 이난희사건/황소타고 시집왔네총 5 편,,2003.10.06.월 ~ 10.10.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
45,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"1980년대 한국영화의 상처, 이장호",과부춤/무릎과 무릎사이/바람불어 좋은날/어우동/이장호의 외인구단총 5 편,,2003.10.20.월 ~ 10.24.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
46,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,이낙훈: 아형을 생각하며,강력계/갯마을/꽃네/돌의 초상/섬마을선생총 5 편,,2003.11.03.월 ~ 11.07.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
47,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,예리한 영상미를 추구하는 이원세,난장이가 쏘아올린 작은공/매일 죽는 남자/엄마없는 하늘아래/태양을 훔친 여자/특별수사본부 김수임의 일생총 5 편,,2003.11.17.월 ~ 11.21.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
48,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"추억이 긴 청춘스타, 한국의 오드리 햅번: 나오미",0시(영시)/교장선생 상경기/딸부자집/어머님 생전에/해 달 별 그리고 사랑총 5 편,,2003.12.01.월 ~ 12.05.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
49,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,성과 권력에 대한 영화적 탐구 김호선의 영화작가 세계,겨울여자/미친사랑의 노래/사의 찬미/세번은 짧게 세번은 길게/영자의 전성시대총 5 편,,2003.12.08.월 ~ 12.12.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
50,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국영상자료원 창립 30주년 기념 특별 상영전,경성/독립전야/마음의 고향/순종황제 인산습의/심청전/어화/자유만세/조선의 축산업/처용무/한국(고요한 아침의 나라)/한국의 주요 마을들총 11 편,,2004.01.27.화 ~ 01.29.목,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"마음의 고향(1946),자유만세(1946),독립전야(1948),심청전(1937),조선의축산업(1938) 등 모두 1960년 이전 작품",
51,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국액션영화 시리즈 1 : 의리의 사나이,5인의 건달들/돌아온 팔도사나이/명동에 흐르는 세월/명동의 12 사나이/명동잔혹사/분노의 왼발/실록 김두한/악인이여 지옥행 급행열차를 타라(악인이여 지옥행 열차를 타라)/암살자/애꾸눈 박/원점/원한의 거리에 눈이 나린다/의리에 산다/인간사표를 써라/쟉크를 채워라/팔도사나이총 16 편,,2004.02.12.목 ~ 02.19.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
52,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,매혹과 혼돈의 시대 1 : 1950년 멜로영화전,그 여자의 일생/느티나무 있는 언덕/동심초/모정/비오는 날의 오후 세시/순애보/여사장/운명의 손/자매의 화원/자유결혼/지옥화/청춘쌍곡선/촌색씨총 13 편,,2004.03.22.월 ~ 03.27.토,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,모두 1960년 이전 작품,
53,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,Home Sweet Home: 1960년대 홈 코미디 영화전,공처가 삼대/돼지꿈/로맨스그레이/로맨스빠빠/박서방/삼등과장/서울의 지붕밑/오부자/해바라기가족/행주치마총 10 편,,2004.04.09.금 ~ 04.14.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"박서방,해바라기가족,돼지꿈,로맨스빠빠,삼등과장,서울의지붕밑 1963년 이전작품, 나머지는 그 이후",
54,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,깊고 깊은 그곳에: 한국영화 속의 에로티시즘,겨울여자/내시/매춘/무릎과 무릎사이/벽속의 여자/뽕/산불/서울에서 마지막 탱고/성숙/안개마을/애마부인/앵무새 몸으로 울었다/죽음보다 깊은 잠총 13 편,,2004.05.18.화 ~ 05.22.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
55,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,이마무라 쇼헤이전,검은비/나라야마 부시코/도둑맞은 욕정/돼지와 군함/붉은 살의/여현/일본곤충기총 7 편,,2004.06.08.화 ~ 06.12.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,특별상영전 스틸컷,
56,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,1950년~60년대 동아시안 멜로영화전,가녀지가 歌女之歌/귀로/그대와 영원히/당신의 이름은 1부 君の名は 1/당신의 이름은 2부 君の名は 2/당신의 이름은 3부 君の名は 3/동연 冬戀/산의 소리 山の音/스자키파라다이스 적신호 洲崎パラダイス赤信號/위루춘효 危樓春曉/일판지격 一板之隔/자유부인/지옥화/한야 寒夜총 14 편,,2004.07.05.월 ~ 07.10.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,귀로(1967년) 제외 나머지 모두 1960년 이전 작품,
57,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,납량영화전: 그 여름밤 두견새 우는 사연,깊은밤 갑자기/넋/누나의 한/두견새 우는 사연/망령의 곡/망령의 웨딩드레스/반혼녀/여곡성/원/원한의 공동묘지/이조괴담총 11 편,,2004.08.26.목 ~ 08.31.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,귀로(1967년) 제외 나머지 모두 1960년 이전 작품,
58,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국액션영화시리즈 2 : 만주의 무법자,6인의 난폭자/광야의 호랑이/두만강아 잘 있거라/무숙자/불붙는 대륙/소만국경/쇠사슬을 끊어라/영/황야의 독수리총 9 편,,2004.09.15.수 ~ 09.18.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,두만강아 잘있거라 이외 모두 1963년 이전 작품,
59,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,매혹과 혼돈의 시대 2 : 1950년대 영화전,격퇴(우리는 이렇게 싸웠다)/독립협회와 청년 이승만/돈/막난이비사 (망나니비사)/무영탑/불사조의 언덕/서울의 휴일/양산도/자유전선/젊은 그들/풍운의 궁전/피아골/한말풍운과 민충정공(일명:혈죽)총 13 편,,2004.10.19.화 ~ 10.23.토,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"모두 1960년 이전 작품, 저작권 보호기간 만료",
60,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,주한 외국인을 위한 한국 영화 특별 기획전 - New Korean Connection,"2001 imagine/Coming Out/밀애/박하사탕/복수는 나의것/봄날은 간다/빵과 우유/사랑의 힘/사랑이 죄인가/살인의 추억/생강/섬/언년이/엔죠이 유어썸머/여자는 남자의 미래다/올드보이/와이키키 브라더스/우중산책/장화, 홍련/지구를 지켜라!/지리멸렬/지우개 따먹기/패싸움/해피엔드총 24 편",,2004.11.01.월 ~ 11.05.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,영화 기획전,
