Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,61,국회전자도서관,詩傳大全. 冊6-10,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201200005,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,62,국회전자도서관,中庸諺解,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000500,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,63,국회전자도서관,"梅窓先生文集(幷)年譜, 天, 地, 人",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040106,1821,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,64,국회전자도서관,崇禎紀元後四壬午增廣司馬榜目,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000478,1822,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,65,국회전자도서관,"新編標題纂圖환瀛誌, 全",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040611,1822,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,66,국회전자도서관,"杜谷先生文集, 乾, 坤",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040176,1823,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,67,국회전자도서관,"雙忠錄, 冊1-2",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040811,1823,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,68,국회전자도서관,"瓢隱先生文集, 冊1-2",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198029158,1824,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,69,국회전자도서관,"心經附註, 冊1, 2",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000257,1826,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,70,국회전자도서관,"栗翁遺稿, 全",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198028952,1826,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,71,국회전자도서관,苟全先生文集. 冊1-4,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198029187,1826,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,72,국회전자도서관,關東題詠,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198021058,1826,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,73,국회전자도서관,"皇朝經世文編, 1-20",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1200500402,1827,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,74,국회전자도서관,"皇朝經世文編, 61-80",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1200500413,1827,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,75,국회전자도서관,"皇朝經世文編, 41-60",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1200500410,1827,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,76,국회전자도서관,"皇朝經世文編, 21-40",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1200500407,1827,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,77,국회전자도서관,"忠敬公梅軒廉先生遺集, 全",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198029856,1827,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,78,국회전자도서관,"靑丘雜製, 全",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040376,1827,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,79,국회전자도서관,南華經,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1199914008,1829,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,80,국회전자도서관,"詩經, 冊2",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP3000000083,1830,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,81,국회전자도서관,"妙法蓮華經, 1-7",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1200819170,1830,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
