Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22,Unnamed: 23
,대구광역시 수성구청 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,첨부파일,등록일,작성자,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,
,43,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,영업 신고서,,hwp ,2017.07.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,44,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,신고필증재교부신청,,hwp ,2017.07.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,45,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,영업신고사항변경신고,,hwp ,2017.07.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,46,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,영업자지위승계 신고,,hwp ,2017.07.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,47,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,초지전용신고,,hwp ,2017.07.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,48,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,동물병원개설신고,,hwp ,2022.03.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,49,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,동물병원개설신고(법인),,hwp ,2022.03.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,50,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,동물병원휴업(폐업)신고,,hwp ,2022.03.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,51,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,동물병원개설신고사항변경신고,,hwp ,2022.03.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,52,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,동물약국개설신고,,hwp ,2022.03.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,53,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,초지전용허가,,hwp ,2017.07.21,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
