Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22
,한국교육개발원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일,연구책임자/작성자,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,47,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 7호] 사회경제 변화에 대응하는 평생교육 확대 ...,,2020-03-30 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,48,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 8호] 지방교육자치 역량 강화 방안 연구,,2020-04-10 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,49,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 9호] 한국의 교육복지정책에 대한 평가와 개선과...,,2020-04-23 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,50,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 10호] OECD 교육 2030에 비춰 본 국내 역량교육 ...,,2020-05-14 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,51,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 11호] 전문성 신장 중심의 교원 인사제도 혁신 방...,,2020-05-22 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,52,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 12호] 교원종단 연구 설계 방안,,2020-05-28 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,53,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 13호] 교육혁신 사례 분석을 통한 미래교육 실천...,,2020-06-12 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,54,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 14호] 초기 성인기 생활과 성과에 대한 성별에 따...,,2020-06-23 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,55,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 15호] 사용자 주도 프로젝트를 통해 본 미래형 학...,,2020-07-03 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,56,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 16호] 개발도상국의 고등교육 발전을 위한 상생의...,,2020-07-16 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
