국립극장 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
90,별별스테이지,홍보물제작,청소년공연예술제 및 다문화페스티벌 홍보인쇄물 제작 및 인쇄,2010043963500,2010-04-23,0,0,1,미부착,개방불가,없음,
91,별별스테이지,홍보물제작,국립창극단 국가브랜드 공연 청 홍보인쇄물 제작,2010042927900,2010-04-19,0,0,1,미부착,개방불가,없음,
92,별별스테이지,홍보물제작,국립국악관현악단 <뛰다 튀다 타다> 홍보인쇄물 제작(계약변경),T1002037907801,2010-04-15,0,0,1,미부착,개방불가,없음,
93,별별스테이지,홍보물제작,2010 국립극장 고고고 극장장 서신 및 홍보물 제작  ,T1004041651400,2010-04-05,0,0,1,미부착,개방불가,없음,
94,별별스테이지,홍보물제작,관현악단 <사랑방 음악회> 홍보인쇄물 제작,T1003040255800,2010-03-16,0,0,1,미부착,개방불가,없음,
95,별별스테이지,홍보물제작,국립무용단 상설공연 <코리아환타지> 홍보인쇄물 제작 ,T1002036348200,2010-02-22,0,0,1,미부착,개방불가,없음,
96,별별스테이지,홍보물제작,국립무용단 춤춘향 밴쿠버 뉴욕공연 홍보인쇄물 제작,2010021983100,2010-02-17,0,0,1,미부착,개방불가,없음,
97,별별스테이지,홍보물제작,2010년 국립창극단 완창판소리 홍보인쇄물 제작,2010020693900,2010-02-05,0,0,1,미부착,개방불가,없음,
98,별별스테이지,홍보물제작,"2010년 대보름축제 ""남산위의둥근달"" 홍보인쇄물 제작",T1002032024100,2010-01-29,0,0,1,미부착,개방불가,없음,
99,별별스테이지,포스터,Viktor(빅토르),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
100,별별스테이지,포스터,Kontakthof(콘탁트호프),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
101,별별스테이지,포스터,Die sieben Todsunden(7가지 죽을죄)_A형,Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
102,별별스테이지,포스터,Die sieben Todsunden(7가지 죽을죄)_B형,Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
103,별별스테이지,포스터,Arien(아리앙),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
104,별별스테이지,포스터,Cafe Muller(카페 뮐러),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
105,별별스테이지,포스터,Auf dem Gebirge hat man ein Geschrei gehort,Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
106,별별스테이지,포스터,Walzer(왈츠),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
107,별별스테이지,포스터,Renate wandert aus(Renate Emigrates),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
108,별별스테이지,포스터,Masurka Fogo(마주르카 포고),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
109,별별스테이지,포스터,Keuschheitslegende(The legend of Virginity),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
110,별별스테이지,포스터,Nelken(카네이션),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
111,별별스테이지,포스터,Der Fensterputzer(유리청소부),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
112,별별스테이지,포스터,Wiesenland(푸른 대지),Tanztheater Wuppertal(부퍼탈 탄츠테아터),0000-00-00,0,1,0,미부착,개방불가,없음,
113,별별스테이지,포스터,한국의 춤과 음악(Danzas Y Musica de Corea),국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
114,별별스테이지,포스터,한국의 춤과 음악,국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
115,별별스테이지,포스터,한국국립무용단(Compagnie nationale de danse de Coree),국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
116,별별스테이지,포스터,한국국립무용단(La Delegacion de Danza Nacional de Corea),국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
117,별별스테이지,포스터,한국국립무용단(The National Dance Company of Korea),국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
118,별별스테이지,포스터,한국국립무용단(Companhia Nacional de Danca da Coreia),국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
119,별별스테이지,포스터,한국민속예술단(Korean Folk Art Troupe),국립무용단(한국민속예술단),0000-00-00,0,1,0,미부착,개방불가,없음,
120,별별스테이지,포스터,흥보전,국립창극단,0000-00-00,0,1,0,미부착,개방불가,없음,
121,별별스테이지,포스터,작가를 찾는 6인의 등장인물 (3막),국립극단 연구생(연출: 방헌),1959-03-05,0,1,0,미부착,개방불가,없음,
122,별별스테이지,포스터,춘향전,국립국극단,1962-03-23,0,1,0,미부착,개방불가,없음,
123,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1962-06-22,0,1,0,미부착,개방불가,없음,
124,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1962-12-17,0,1,0,미부착,개방불가,없음,
125,별별스테이지,포스터,산불,국립극단,1962-12-25,0,1,0,미부착,개방불가,없음,
