국립대전현충원 공공저작물 권리처리 대상 목록,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시물 제목,설명,날짜,영상,사진,문서,기존 공공누리 유형,최종 유형,계약서 유무,비고
76,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,역대 국립대전현충원장 참배 (09. 8. 27.),,2009-08-27 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
77,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,민원만족도 제고를 위한 실천 결의대회 (09. 9. 1.),,2009-09-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
78,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전지방보훈청장 및 충청지역 보훈단체장 참배 (09. 9. 1.),,2009-09-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
79,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전광역시 소방본부장 박호선 참배 (09. 9. 11.),,2009-09-11 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
80,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,육군참모총장 임충빈 이임참배(09. 9. 21.),,2009-09-21 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
81,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,육군참모총장 한민구 취임참배 (09. 9. 21.),,2009-09-22 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
82,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국무공수훈자회 경기도지부 참배 (09. 9. 22.),,2009-09-23 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
83,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,"대한민국무공수훈자회 대전,충남지부 참배 (09. 9. 24.)",,2009-09-24 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
84,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국무공수훈자회 경북지부 참배 (09. 9. 25.),,2009-09-25 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
85,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,해양경찰청장 이길범 참배 (09. 9. 25.),,2009-09-25 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
86,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국재향군인회 회장 박세환 참배 (09. 9. 29.),,2009-09-30 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
