한국교육개발원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,자료명,저자,발행년,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
195,사이버교과서박물관,도서별,普通學校 書キ方手本 第三學年用上,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
196,사이버교과서박물관,도서별,普通學校 書キ方手本 第二學年用上,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
197,사이버교과서박물관,도서별,新編 高等朝鮮語及漢文讀本 卷四,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
198,사이버교과서박물관,도서별,普通學校 書キ方手本 第二學年用上,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
199,사이버교과서박물관,도서별,韓史繫辨,孟輔淳 著,1924,0,0,1,미부착,제1유형,저작권 만료,
200,사이버교과서박물관,도서별,普通學校 修身書 兒童用 卷四,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
201,사이버교과서박물관,도서별,普通學校 國史 下卷 兒童用,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
202,사이버교과서박물관,도서별,新編 高等 國語讀本 卷四,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
203,사이버교과서박물관,도서별,新編 高等 國語讀本  卷二,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
204,사이버교과서박물관,도서별,新編 高等 國語讀本 卷一,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
205,사이버교과서박물관,도서별,新編 高等朝鮮語及漢文讀本 卷三,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
206,사이버교과서박물관,도서별,新編 高等國語讀本 卷三,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
