순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
40,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.336 SORAN,I'm Live,2023-12-28 00:00:00,1,미부착,제4유형,무,,Ep.336 SORAN,,영상,영상,,방송,영어/한국어,,2023-12-28 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-12-28 00:00:00,,
41,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.335 no reply,I'm Live,2023-12-21 00:00:00,1,미부착,제4유형,무,,Ep.335 no reply,,영상,영상,,방송,영어/한국어,,2023-12-21 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-12-21 00:00:00,,
42,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.334 JUNGSOOMIN,I'm Live,2023-12-14 00:00:00,1,미부착,제4유형,무,,Ep.334 JUNGSOOMIN,,영상,영상,,방송,영어/한국어,,2023-12-14 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-12-14 00:00:00,,
43,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.333,I'm Live,2023-12-07 00:00:00,1,미부착,제4유형,무,,Ep.333,,영상,영상,,방송,영어/한국어,,2023-12-07 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-12-07 00:00:00,,
44,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.15 Food Idioms & Body Idioms,K-Chat : Conversing in Korean ,2023-11-24 00:00:00,1,미부착,제4유형,무,,Ep.15 Food Idioms & Body Idioms,,영상,영상,,방송,영어/한국어,,2023-11-24 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-24 00:00:00,,
45,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.14 Describing Wishes & Sharing Plans,K-Chat : Conversing in Korean ,2023-11-23 00:00:00,1,미부착,제4유형,무,,Ep.14 Describing Wishes & Sharing Plans,,영상,영상,,방송,영어/한국어,,2023-11-23 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-23 00:00:00,,
46,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.13 Explaining Actions & Talking About the Past,K-Chat : Conversing in Korean ,2023-11-22 00:00:00,1,미부착,제4유형,무,,Ep.13 Explaining Actions & Talking About the Past,,영상,영상,,방송,영어/한국어,,2023-11-22 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-22 00:00:00,,
47,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.12 Expressing Colors & Comparing Things,K-Chat : Conversing in Korean ,2023-11-21 00:00:00,1,미부착,제4유형,무,,Ep.12 Expressing Colors & Comparing Things,,영상,영상,,방송,영어/한국어,,2023-11-21 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-21 00:00:00,,
48,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.11 Going to the Hospital & Visiting the Pharmacy,K-Chat : Conversing in Korean ,2023-11-20 00:00:00,1,미부착,제4유형,무,,Ep.11 Going to the Hospital & Visiting the Pharmacy,,영상,영상,,방송,영어/한국어,,2023-11-20 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-20 00:00:00,,
49,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.10 Saying the Days & Explaining the Weather,K-Chat : Conversing in Korean ,2023-11-17 00:00:00,1,미부착,제4유형,무,,Ep.10 Saying the Days & Explaining the Weather,,영상,영상,,방송,영어/한국어,,2023-11-17 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-17 00:00:00,,
50,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.9 Don’t Want to VS Can’t & Explaining Reasons,K-Chat : Conversing in Korean ,2023-11-16 00:00:00,1,미부착,제4유형,무,,Ep.9 Don’t Want to VS Can’t & Explaining Reasons,,영상,영상,,방송,영어/한국어,,2023-11-16 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-16 00:00:00,,
51,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.8 Introducing Family & Informal and Honorific Speech,K-Chat : Conversing in Korean ,2023-11-15 00:00:00,1,미부착,제4유형,무,,Ep.8 Introducing Family & Informal and Honorific Speech,,영상,영상,,방송,영어/한국어,,2023-11-15 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-15 00:00:00,,
52,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.7 Using Public Transportation & Finding Your Way,K-Chat : Conversing in Korean ,2023-11-14 00:00:00,1,미부착,제4유형,무,,Ep.7 Using Public Transportation & Finding Your Way,,영상,영상,,방송,영어/한국어,,2023-11-14 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-14 00:00:00,,
53,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.6 Explaining Hobbies & Inviting to Dinner,K-Chat : Conversing in Korean ,2023-11-13 00:00:00,1,미부착,제4유형,무,,Ep.6 Explaining Hobbies & Inviting to Dinner,,영상,영상,,방송,영어/한국어,,2023-11-13 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-13 00:00:00,,
54,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.15 Food Idioms & Body Idioms,K-Chat: Conversing in Korean,2023-11-24 00:00:00,1,미부착,제4유형,무,,Ep.15 Food Idioms & Body Idioms,,영상,영상,,방송,영어/한국어,,2023-11-24 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-24 00:00:00,,
55,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.14 Describing Wishes & Sharing Plans,K-Chat: Conversing in Korean,2023-11-23 00:00:00,1,미부착,제4유형,무,,Ep.14 Describing Wishes & Sharing Plans,,영상,영상,,방송,영어/한국어,,2023-11-23 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-23 00:00:00,,
56,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.13 Explaining Actions & Talking About the Past,K-Chat: Conversing in Korean,2023-11-22 00:00:00,1,미부착,제4유형,무,,Ep.13 Explaining Actions & Talking About the Past,,영상,영상,,방송,영어/한국어,,2023-11-22 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-22 00:00:00,,
57,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.12 Expressing Colors & Comparing Things,K-Chat: Conversing in Korean,2023-11-21 00:00:00,1,미부착,제4유형,무,,Ep.12 Expressing Colors & Comparing Things,,영상,영상,,방송,영어/한국어,,2023-11-21 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-21 00:00:00,,
58,영상,교육,국제방송교류재단,아리랑국제방송,TV,Ep.11 Going to the Hospital & Visiting the Pharmacy,K-Chat: Conversing in Korean,2023-11-20 00:00:00,1,미부착,제4유형,무,,Ep.11 Going to the Hospital & Visiting the Pharmacy,,영상,영상,,방송,영어/한국어,,2023-11-20 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-20 00:00:00,,
