순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
45,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 계룡산 갑사 시찰,2012이승만2차_2233.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 계룡산 갑사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
46,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,미국 관계자 방한,2012이승만2차_2201.jpg,미상,1,비표출,제4유형,유,,미국 관계자 방한,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
47,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 내외 시찰,2012이승만2차_2202.jpg,미상,1,비표출,제4유형,유,,이승만 대통령 내외 시찰,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
48,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 내외 각국 대사 기념촬영,2012이승만2차_2203.jpg,미상,1,비표출,제4유형,유,,이승만 대통령 내외 각국 대사 기념촬영,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
49,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 지역 시찰 기념 꽃바달 증정,2012이승만2차_2204.jpg,미상,1,비표출,제4유형,유,,이승만 대통령 지역 시찰 기념 꽃바달 증정,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
50,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,태극기 게양,2012이승만2차_2205.jpg,미상,1,비표출,제4유형,유,,태극기 게양,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
51,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,동지회 기념촬영,2012이승만2차_2206.jpg,미상,1,비표출,제4유형,유,,동지회 기념촬영,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
52,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,호텔 룸 전경,2012이승만2차_2207.jpg,미상,1,비표출,제4유형,유,,호텔 룸 전경,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
53,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,경찰과 악수하는 이승만 대통령,2012이승만2차_2208.jpg,1954,1,비표출,제4유형,유,,경찰과 악수하는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
54,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,비행기에서 내리는 이승만 대통령,2012이승만2차_2209.jpg,1954,1,비표출,제4유형,유,,비행기에서 내리는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
55,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 내외 방미 환영인사 접견,2012이승만2차_2210.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 내외 방미 환영인사 접견,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
