국립해양문화재연구소 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
123,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
124,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
125,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
126,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
127,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
128,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 손잡이 달린 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
129,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 유병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
130,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 작은 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
131,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 작은 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
132,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 접시,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
133,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 접시,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
134,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 접시,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
135,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 주전자,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
136,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 큰 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
137,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 큰 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
138,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 큰 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
139,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
140,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
141,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
142,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
143,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
144,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
145,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
146,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
147,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
148,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
149,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
150,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
151,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
152,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
153,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
154,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
155,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
156,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
157,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
158,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
159,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
160,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
161,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
162,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
163,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
164,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
165,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
166,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
167,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
168,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
169,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
170,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
171,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
172,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
